id,about,prefLabel,lang,altLabel,broader,facetaAcronimo,faceta,prefNodeId
2005,tribunal.regional.trabalho;vice.presidencia.1,"Tribunal Regional do Trabalho. 1ª Vice-Presidência",pt-BR,,#tribunal.regional.trabalho,,Federal::Judiciário::Tribunal Regional do Trabalho::1ª Vice-Presidência,label_6872
2006,"tribunal.regional.trabalho;corregedoria,tribunal.regional.trabalho;presidencia","Tribunal Regional do Trabalho. Corregedoria; Tribunal Regional do Trabalho. Presidência",pt-BR,,,,,label_6873
2007,"tribunal.regional.trabalho;corregedoria,tribunal.regional.trabalho;diretoria.judiciaria,tribunal.regional.trabalho;presidencia","Tribunal Regional do Trabalho. Corregedoria; Tribunal Regional do Trabalho. Diretoria Judiciária; Tribunal Regional do Trabalho. Presidencia",pt-BR,,,,,label_6875
2008,"tribunal.regional.trabalho;corregedoria,tribunal.regional.trabalho;presidencia,tribunal.regional.trabalho;vice.presidencia.1","Tribunal Regional do Trabalho. Corregedoria; Tribunal Regional do Trabalho. Presidencia; Tribunal Regional do Trabalho. 1ª Vice-Presidência",pt-BR,,,,,label_6876
2009,"tribunal.regional.trabalho;corregedoria,tribunal.regional.trabalho;presidencia,tribunal.regional.trabalho;vice.corregedoria.regional","Tribunal Regional do Trabalho. Corregedoria; Tribunal Regional do Trabalho. Presidencia; Tribunal Regional do Trabalho. Vice-Corregedoria Regional",pt-BR,,,,,label_6877
2010,"tribunal.regional.trabalho;corregedoria,tribunal.regional.trabalho;diretoria.judiciaria,tribunal.regional.trabalho;presidencia,tribunal.regional.trabalho;vice.presidencia.1","Tribunal Regional do Trabalho. Corregedoria; Tribunal Regional do Trabalho. Diretoria Judiciária; Tribunal Regional do Trabalho. Presidencia; Tribunal Regional do Trabalho. 1ª Vice-Presidencia",pt-BR,,,,,label_6878
2011,tribunal.regional.trabalho;diretoria.judiciaria,"Tribunal Regional do Trabalho. Diretoria Judiciária",pt-BR,DJ,#tribunal.regional.trabalho,DJ – Diretoria Judiciária,Tribunal Regional do Trabalho::Diretoria Judiciária,label_6882
2012,"tribunal.regional.trabalho;diretoria.geral,tribunal.regional.trabalho;diretoria.judiciaria","Tribunal Regional do Trabalho. Diretoria-Geral; Tribunal Regional do Trabalho. Diretoria Judiciária",pt-BR,,,,,label_6879
2013,"tribunal.regional.trabalho;presidencia,tribunal.regional.trabalho;vice.corregedoria,tribunal.regional.trabalho;vice.presidencia.1","Tribunal Regional do Trabalho. Presidencia; Tribunal Regional do Trabalho. Vice-Corregedoria; Tribunal Regional do Trabalho. 1ª Vice-Presidência",pt-BR,,,,,label_6881
2014,"tribunal.regional.trabalho;presidencia,tribunal.regional.trabalho;vice.presidencia.1","Tribunal Regional do Trabalho. Presidencia; Tribunal Regional do Trabalho. 1ª Vice-Presidência",pt-BR,,,,,label_6884
2015,"tribunal.regional.trabalho;corregedoria,tribunal.regional.trabalho;vice.presidencia.1","Tribunal Regional do Trabalho. Corregedoria; Tribunal Regional do Trabalho. 1ª Vice-Presidência",pt-BR,,,,,label_6885
2017,ministerio.planejamento.orcamento.gestao;secretaria.gestao.publica;departamento.normas.procedimentos.judiciais.pessoal;coordenacao.geral.extintos.territorios.empregados.publicos.militares,"Ministério do Planejamento, Orçamento e Gestão. Secretaria de Gestão Pública. Departamento de Normas e Procedimentos Judiciais de Pessoal. Coordenação-Geral de Extintos Territórios, Empregados Públicos e Militares",pt-BR,CGEXT,#ministerio.planejamento.orcamento.gestao;secretaria.gestao.publica;departamento.normas.procedimentos.judiciais.pessoal,"CGEXT – Coordenação-Geral de Extintos Territórios, Empregados Públicos e Militares","Federal::Executivo::Ministério do Planejamento, Orçamento e Gestão::Secretaria de Gestão Pública::Departamento de Normas e Procedimentos Judiciais de Pessoal::Coordenação-Geral de Extintos Territórios, Empregados Públicos e Militares",label_6887
2018,ministerio.planejamento.orcamento.gestao;secretaria.gestao.publica;departamento.normas.procedimentos.judiciais.pessoal;coordenacao.geral.procedimentos.judiciais,"Ministério do Planejamento, Orçamento e Gestão. Secretaria de Gestão Pública. Departamento de Normas e Procedimentos Judiciais de Pessoal. Coordenação-Geral de Procedimentos Judiciais",pt-BR,CGPJU,#ministerio.planejamento.orcamento.gestao;secretaria.gestao.publica;departamento.normas.procedimentos.judiciais.pessoal,CGPJU – Coordenação-Geral de Procedimentos Judiciais,"Federal::Executivo::Ministério do Planejamento, Orçamento e Gestão::Secretaria de Gestão Pública::Departamento de Normas e Procedimentos Judiciais de Pessoal::Coordenação-Geral de Procedimentos Judiciais",label_6888
