id,about,prefLabel,lang,altLabel,broader,facetaAcronimo,faceta,prefNodeId
2143,br:supremo.tribunal.federal:acordao;ss,SS,pt-BR,"Suspensão de Segurança",#acordao,SS – Suspensão de Segurança,Jurisprudência::Acórdão,label_4400
2144,br:supremo.tribunal.federal:acordao;ss.agr,SS-AgR,pt-BR,"Agravo Regimental na Suspensão de Segurança",#acordao,SS-AgR – Agravo Regimental na Suspensão de Segurança,Jurisprudência::Acórdão,label_4402
2145,br:supremo.tribunal.federal:acordao;ss.agr.agr,SS-AgR-AgR,pt-BR,"Agravo Regimental no Agravo Regimental na Suspensão de Segurança",#acordao,SS-AgR-AgR – Agravo Regimental no Agravo Regimental na Suspensão de Segurança,Jurisprudência::Acórdão,label_4404
2146,br:supremo.tribunal.federal:acordao;ss.agr.agr.agr,SS-AgR-AgR-AgR,pt-BR,"Agravo Regimental no Agravo Regimental no Agravo Regimental na Suspensão de Segurança",#acordao,SS-AgR-AgR-AgR – Agravo Regimental no Agravo Regimental no Agravo Regimental na Suspensão de Segurança,Jurisprudência::Acórdão,label_4406
2147,br:supremo.tribunal.federal:acordao;ss.agr.agr.agr.qo,SS-AgR-AgR-AgR-QO,pt-BR,"Questão de Ordem no Agravo Regimental no Agravo Regimental no Agravo Regimental na Suspensão de Segurança",#acordao,SS-AgR-AgR-AgR-QO – Questão de Ordem no Agravo Regimental no Agravo Regimental no Agravo Regimental na Suspensão de Segurança,Jurisprudência::Acórdão,label_4408
2148,br:supremo.tribunal.federal:acordao;ss.agr.agr.ed,SS-AgR-AgR-ED,pt-BR,"Embargos de Declaração no Agravo Regimental no Agravo Regimental na Suspensão de Segurança",#acordao,SS-AgR-AgR-ED – Embargos de Declaração no Agravo Regimental no Agravo Regimental na Suspensão de Segurança,Jurisprudência::Acórdão,label_4410
2149,br:supremo.tribunal.federal:acordao;ss.agr.agr.ed.ed,SS-AgR-AgR-ED-ED,pt-BR,"Embargos de Declaração nos Embargos de Declaração no Agravo Regimental no Agravo Regimental na Suspensão de Segurança",#acordao,SS-AgR-AgR-ED-ED – Embargos de Declaração nos Embargos de Declaração no Agravo Regimental no Agravo Regimental na Suspensão de Segurança,Jurisprudência::Acórdão,label_4412
2150,br:supremo.tribunal.federal:acordao;ss.agr.ed,SS-AgR-ED,pt-BR,"Embargos de Declaração no Agravo Regimental na Suspensão de Segurança",#acordao,SS-AgR-ED – Embargos de Declaração no Agravo Regimental na Suspensão de Segurança,Jurisprudência::Acórdão,label_4414
2151,br:supremo.tribunal.federal:acordao;ss.agr.ed.agr,SS-AgR-ED-AgR,pt-BR,"Agravo Regimental nos Embargos de Declaração no Agravo Regimental na Suspensão de Segurança",#acordao,SS-AgR-ED-AgR – Agravo Regimental nos Embargos de Declaração no Agravo Regimental na Suspensão de Segurança,Jurisprudência::Acórdão,label_4416
2152,br:supremo.tribunal.federal:acordao;ss.agr.ed.agr.ed,SS-AgR-ED-AgR-ED,pt-BR,"Embargos de Declaração no Agravo Regimental nos Embargos de Declaração no Agravo Regimental na Suspensão de Segurança",#acordao,SS-AgR-ED-AgR-ED – Embargos de Declaração no Agravo Regimental nos Embargos de Declaração no Agravo Regimental na Suspensão de Segurança,Jurisprudência::Acórdão,label_4418
2153,br:supremo.tribunal.federal:acordao;ss.agr.segundo,SS-AgR-segundo,pt-BR,"Segundo Agravo Regimental na Suspensão de Segurança",#acordao,SS-AgR-segundo – Segundo Agravo Regimental na Suspensão de Segurança,Jurisprudência::Acórdão,label_4420
